BinCenter_pT BinContent
5.5 0.0634238
6.5 0.0618848
7.5 0.0589482
8.5 0.0553374
9.5 0.0523428
10. 0.0489976
11. 0.0468567
12. 0.0436033
13. 0.0414608
14. 0.0392284
15. 0.037217
16. 0.0357872
17. 0.0347298
18. 0.0327149
19. 0.0318899
20. 0.0307707
