BinCenter_pT BinContent
0.5 0.00651385
1.5 0.0528215
2.5 0.0839589
3.5 0.0909401
4.5 0.0799409
5.5 0.0597045
6.5 0.0438024
7.5 0.0345304
8.5 0.030782
