BinCenter_pT BinContent
5.5 0.0431855
6.5 0.0416171
7.5 0.0396299
8.5 0.0370715
9.5 0.0349194
10.5 0.0325747
11.5 0.0307362
12.5 0.0289795
13.5 0.0272572
14.5 0.0259149
15.5 0.024657
16.5 0.0234741
17.5 0.0226094
18.5 0.021599
19.5 0.0209753
20.5 0.0201771
