BinCenter_pT BinContent_Td160MeV
5.25 0.0459315
5.75 0.0455905
6.25 0.0449143
6.75 0.0433456
7.25 0.0427402
7.75 0.041217
8.25 0.0399429
8.75 0.0385347
9.25 0.0374479
9.75 0.0362007
10.25 0.0348438
10.75 0.0338508
11.25 0.0328535
11.75 0.0317555
12.25 0.0309347
12.75 0.029912
13.25 0.0289364
13.75 0.0282206
14.25 0.0274399
14.75 0.0268309
15.25 0.025839
15.75 0.0256393
16.25 0.0247533
16.75 0.0243502
17.25 0.0236734
17.75 0.0235255
18.25 0.0229291
18.75 0.0221399
19.25 0.0221629
19.75 0.0215068
20.25 0.0211463
20.75 0.0208593
21.25 0.0204471
21.75 0.0199087
22.25 0.0196294
22.75 0.0194085
23.25 0.0191277
23.75 0.0189494
24.25 0.0184156
24.75 0.0185659
25.25 0.0180758
25.75 0.0179195
26.25 0.0175547
26.75 0.0172902
27.25 0.0169853
27.75 0.016979
28.25 0.0171341
28.75 0.0162939
29.25 0.0164656
29.75 0.0159015
30.25 0.0158791
30.75 0.0158867
31.25 0.0154618
31.75 0.0149446
32.25 0.0151171
32.75 0.0151721
33.25 0.0148841
33.75 0.0144064
34.25 0.0146537
34.75 0.0143391
35.25 0.0142806
35.75 0.0142922
36.25 0.0138422
36.75 0.0138359
37.25 0.0137372
37.75 0.0135205
38.25 0.0132537
38.75 0.0132664
39.25 0.0132565
39.75 0.0128844
40.25 0.0130762
40.75 0.0127718
41.25 0.0128425
41.75 0.0125332
42.25 0.0126444
42.75 0.0126124
43.25 0.0123763
43.75 0.0123712
44.25 0.0121778
44.75 0.0122202
45.25 0.0117298
45.75 0.011653
46.25 0.0121604
46.75 0.0117721
47.25 0.0111617
47.75 0.0115585
48.25 0.0111603
48.75 0.0114403
49.25 0.0113546
49.75 0.0109408
50.25 0.0108415
50.75 0.0111953
51.25 0.0109206
51.75 0.0106976
52.25 0.0104227
52.75 0.0108264
53.25 0.0103919
53.75 0.0103698
54.25 0.0105437
54.75 0.0104166
55.25 0.010452
55.75 0.0101947
56.25 0.00981951
56.75 0.0101461
57.25 0.0100774
57.75 0.00981937
58.25 0.00984463
58.75 0.00998732
59.25 0.00964817
59.75 0.00960591
60.25 0.00985874
60.75 0.00972488
61.25 0.00976119
61.75 0.00971505
62.25 0.00953382
62.75 0.00934405
63.25 0.00939958
63.75 0.00900769
64.25 0.00905739
64.75 0.00907258
65.25 0.00892423
65.75 0.00939547
66.25 0.00891808
66.75 0.00900115
67.25 0.00859069
67.75 0.00855476
68.25 0.00856616
68.75 0.00886822
69.25 0.00873603
69.75 0.00881964
70.25 0.00867198
70.75 0.00865055
71.25 0.00851764
71.75 0.00838024
72.25 0.00846967
72.75 0.00837776
73.25 0.00854087
73.75 0.0083964
74.25 0.00814251
74.75 0.00806204
75.25 0.00811546
75.75 0.0082613
76.25 0.00823076
76.75 0.00825671
77.25 0.00813293
77.75 0.00782939
78.25 0.00789558
78.75 0.00791278
79.25 0.00781259
79.75 0.00755334
80.25 0.00807373
80.75 0.0077592
81.25 0.00752125
81.75 0.00787349
82.25 0.00767646
82.75 0.00755377
83.25 0.00706047
83.75 0.0073581
84.25 0.00732503
84.75 0.00753916
85.25 0.00757479
85.75 0.0073599
86.25 0.00745167
86.75 0.00710737
87.25 0.00719782
87.75 0.00726601
88.25 0.00730212
88.75 0.00735732
89.25 0.00732645
89.75 0.00717824
90.25 0.00728176
90.75 0.00717952
91.25 0.00704515
91.75 0.00705152
92.25 0.00716593
92.75 0.00719048
93.25 0.00690221
93.75 0.00699442
94.25 0.00682123
94.75 0.00671219
95.25 0.00681125
95.75 0.00682558
96.25 0.00636854
96.75 0.00659745
97.25 0.00675098
97.75 0.00669896
98.25 0.00656701
98.75 0.00684207
99.25 0.00654855
99.75 0.00643086
100.25 0.00648582
100.75 0.00671284
101.25 0.00662108
101.75 0.00663462
