BinCenter_pT BinContent
5.5 0.169076
6.5 0.161792
7.5 0.152159
8.5 0.141755
9.5 0.131753
10.5 0.121929
11.5 0.113378
12.5 0.10509
13.5 0.0982749
14.5 0.0923776
15.5 0.0867222
16.5 0.0821715
17.5 0.0781162
18.5 0.0743998
19.5 0.0709442
20.5 0.0679586
