BinCenter_pT BinContent
0.5 0.00954002
1.5 0.0562461
2.5 0.084952
3.5 0.0891469
4.5 0.0785115
5.5 0.0651803
6.5 0.0571894
7.5 0.0477728
8.5 0.0422993
