BinCenter_pT BinContent_Td160MeV
5.25 0.0304276
5.75 0.0299199
6.25 0.0289955
6.75 0.0280194
7.25 0.0269595
7.75 0.0260943
8.25 0.0252971
8.75 0.023935
9.25 0.0227704
9.75 0.0214112
10.25 0.0206909
10.75 0.0194089
11.25 0.0186095
11.75 0.0177767
12.25 0.0166913
12.75 0.0159166
13.25 0.0149473
13.75 0.0142639
14.25 0.0134225
14.75 0.0133287
15.25 0.0124067
15.75 0.011815
16.25 0.0114813
16.75 0.0109834
17.25 0.0108235
17.75 0.0102197
18.25 0.00995263
18.75 0.00948602
19.25 0.00913375
19.75 0.00905071
20.25 0.00859556
20.75 0.0083089
21.25 0.00818522
21.75 0.00750097
22.25 0.00761211
22.75 0.0078084
23.25 0.00729216
23.75 0.00712755
24.25 0.00698692
24.75 0.00695883
25.25 0.00661604
25.75 0.00626762
26.25 0.00633389
26.75 0.00654135
27.25 0.00598443
27.75 0.00576056
28.25 0.00593982
28.75 0.00606371
29.25 0.00540065
29.75 0.00551479
30.25 0.00521818
30.75 0.0052152
31.25 0.00536554
31.75 0.00531585
32.25 0.00517359
32.75 0.00505965
33.25 0.00478267
33.75 0.00464106
34.25 0.00436116
34.75 0.00437783
35.25 0.00480822
35.75 0.00469495
36.25 0.0044033
36.75 0.00447912
37.25 0.00433159
37.75 0.00444766
38.25 0.00453283
38.75 0.00420211
39.25 0.0041701
39.75 0.00433135
40.25 0.00410296
40.75 0.00392311
41.25 0.00395988
41.75 0.00397717
42.25 0.00386002
42.75 0.00375202
43.25 0.00395247
43.75 0.00370978
44.25 0.00356428
44.75 0.00357971
45.25 0.00330478
45.75 0.00367113
46.25 0.0033132
46.75 0.00339432
47.25 0.00350536
47.75 0.00339348
48.25 0.00327975
48.75 0.00303732
49.25 0.00311423
49.75 0.00331107
50.25 0.00331172
50.75 0.00328974
51.25 0.00341486
51.75 0.00311438
52.25 0.00318436
52.75 0.00302442
53.25 0.0032784
53.75 0.00306298
54.25 0.00303659
54.75 0.00288971
55.25 0.00319258
55.75 0.0030422
56.25 0.00293264
56.75 0.00288251
57.25 0.00257615
57.75 0.00309203
58.25 0.00270382
58.75 0.00258662
59.25 0.00282274
59.75 0.00289785
60.25 0.0029168
60.75 0.00257588
61.25 0.00253702
61.75 0.00250087
62.25 0.00280557
62.75 0.00281042
63.25 0.00268394
63.75 0.00257812
64.25 0.00267431
64.75 0.00270517
65.25 0.00256223
65.75 0.00231455
66.25 0.00256204
66.75 0.00265078
67.25 0.00217734
67.75 0.00227229
68.25 0.00234423
68.75 0.00244828
69.25 0.00263754
69.75 0.00236496
70.25 0.00246185
70.75 0.00246431
71.25 0.00218301
71.75 0.00202147
72.25 0.00216542
72.75 0.00235208
73.25 0.00260936
73.75 0.00231963
74.25 0.00214028
74.75 0.00226031
75.25 0.00190225
75.75 0.00178095
76.25 0.00220517
76.75 0.00211192
77.25 0.00200058
77.75 0.00214752
78.25 0.00196685
78.75 0.00222747
79.25 0.00186285
79.75 0.00222522
80.25 0.00204622
80.75 0.00189096
81.25 0.00207296
81.75 0.00219854
82.25 0.00209193
82.75 0.00203507
83.25 0.00219415
83.75 0.00207606
84.25 0.00202267
84.75 0.00205909
85.25 0.00194287
85.75 0.00197096
86.25 0.00191399
86.75 0.00221809
87.25 0.00196664
87.75 0.00191169
88.25 0.00177589
88.75 0.00206797
89.25 0.00184403
89.75 0.00171519
90.25 0.00165194
90.75 0.0020427
91.25 0.00178832
91.75 0.00171517
92.25 0.00186376
92.75 0.00193922
93.25 0.00208296
93.75 0.00161424
94.25 0.00179792
94.75 0.00174374
95.25 0.00164676
95.75 0.00170394
96.25 0.0015546
96.75 0.00188605
97.25 0.00187016
97.75 0.00157063
98.25 0.00162345
98.75 0.0016031
99.25 0.00187116
99.75 0.00158186
100.25 0.00195397
100.75 0.00187554
101.25 0.00164653
101.75 0.00157817
