BinCenter_pT BinContent_Td160MeV
0.25 0.00291769
0.75 0.0362047
1.25 0.082748
1.75 0.125153
2.25 0.155536
2.75 0.17315
3.25 0.178001
3.75 0.173665
4.25 0.161517
4.75 0.146947
5.25 0.132692
5.75 0.120299
6.25 0.109381
6.75 0.100309
7.25 0.0925607
7.75 0.0865427
8.25 0.0799034
