BinCenter_pT BinContent_Td160MeV
0.25 0.000361699
0.75 0.0038061
1.25 0.0155517
1.75 0.0319103
2.25 0.0470874
2.75 0.0570784
3.25 0.0614081
3.75 0.0609646
4.25 0.055946
4.75 0.048596
5.25 0.0420314
5.75 0.0362788
6.25 0.0309738
6.75 0.0283229
7.25 0.0249167
7.75 0.022065
8.25 0.0193528
