BinCenter_pT BinContent_Td160MeV
5.25 0.125208
5.75 0.122867
6.25 0.120184
6.75 0.117032
7.25 0.113204
7.75 0.10941
8.25 0.105544
8.75 0.101575
9.25 0.098121
9.75 0.0940123
10.25 0.0906628
10.75 0.0870619
11.25 0.0835962
11.75 0.0808264
12.25 0.0777318
12.75 0.0749891
13.25 0.0726162
13.75 0.0699487
14.25 0.0679046
14.75 0.0657507
15.25 0.0637804
15.75 0.0618669
16.25 0.0603561
16.75 0.0587039
17.25 0.0572213
17.75 0.0557285
18.25 0.0545788
18.75 0.0529817
19.25 0.0519139
19.75 0.0507487
20.25 0.0497041
20.75 0.0486176
21.25 0.0480267
21.75 0.0469634
22.25 0.0461516
22.75 0.0453358
23.25 0.0444585
23.75 0.0435438
24.25 0.0429606
24.75 0.0423642
25.25 0.0416424
25.75 0.0409625
26.25 0.0402974
26.75 0.0397794
27.25 0.0391091
27.75 0.038623
28.25 0.0378728
28.75 0.0372795
29.25 0.0368361
29.75 0.036537
30.25 0.0356345
30.75 0.0355831
31.25 0.0349133
31.75 0.0345813
32.25 0.034292
32.75 0.0338317
33.25 0.0333112
33.75 0.0329595
34.25 0.0327066
34.75 0.0321285
35.25 0.0320036
35.75 0.0317144
36.25 0.0311511
36.75 0.0309532
37.25 0.0307893
37.75 0.0303651
38.25 0.0298893
38.75 0.0294535
39.25 0.0293519
39.75 0.0291181
40.25 0.0287552
40.75 0.0285553
41.25 0.0284116
41.75 0.0281459
42.25 0.0276944
42.75 0.0275408
43.25 0.0271588
43.75 0.0269785
44.25 0.0267546
44.75 0.0265145
45.25 0.0264037
45.75 0.0260586
46.25 0.0257888
46.75 0.0257758
47.25 0.0253652
47.75 0.0253583
48.25 0.0249377
48.75 0.0249779
49.25 0.0246182
49.75 0.024299
50.25 0.0241601
50.75 0.0240142
51.25 0.0238557
51.75 0.0235268
52.25 0.0235263
52.75 0.0234561
53.25 0.0231746
53.75 0.0229731
54.25 0.0227246
54.75 0.0227531
55.25 0.0225329
55.75 0.0222707
56.25 0.0221109
56.75 0.0220491
57.25 0.0217477
57.75 0.0216798
58.25 0.0217554
58.75 0.0213431
59.25 0.0212904
59.75 0.0211559
60.25 0.0209573
60.75 0.0208394
61.25 0.0207052
61.75 0.0206743
62.25 0.0204584
62.75 0.0203982
63.25 0.0202085
63.75 0.0201945
64.25 0.0201384
64.75 0.0196635
65.25 0.0197093
65.75 0.0196389
66.25 0.019358
66.75 0.0193215
67.25 0.0191873
67.75 0.0190692
68.25 0.0189452
68.75 0.0188419
69.25 0.0185921
69.75 0.0188095
70.25 0.0184957
70.75 0.0184038
71.25 0.0183317
71.75 0.018194
72.25 0.0181185
72.75 0.0180841
73.25 0.017964
73.75 0.0178917
74.25 0.0179846
74.75 0.0178901
75.25 0.017499
75.75 0.0173406
76.25 0.0173512
76.75 0.0174886
77.25 0.0172918
77.75 0.0171874
78.25 0.0168609
78.75 0.0170589
79.25 0.0169129
79.75 0.0167786
80.25 0.0167383
80.75 0.0167685
81.25 0.0166607
81.75 0.0163715
82.25 0.0165463
82.75 0.01645
83.25 0.0164654
83.75 0.01624
84.25 0.0160949
84.75 0.0160537
85.25 0.0158761
85.75 0.0160479
86.25 0.0157175
86.75 0.015761
87.25 0.0154927
87.75 0.0156678
88.25 0.0155062
88.75 0.0153414
89.25 0.0152799
89.75 0.0152546
90.25 0.0151339
90.75 0.0153294
91.25 0.0151067
91.75 0.0149895
92.25 0.0150199
92.75 0.0148075
93.25 0.0149148
93.75 0.0147235
94.25 0.014675
94.75 0.0148016
95.25 0.0146535
95.75 0.0143792
96.25 0.0145361
96.75 0.0144877
97.25 0.0144739
97.75 0.0140881
98.25 0.0143205
98.75 0.0142998
99.25 0.014147
99.75 0.0140644
100.25 0.0139915
100.75 0.0139965
101.25 0.0138584
101.75 0.0138658
