BinCenter_pT BinContent
5.5 0.068274
6.5 0.0642789
7.5 0.0600311
8.5 0.0553259
9.5 0.0510789
10.5 0.0464727
11.5 0.0430141
12.5 0.0395448
13.5 0.0372012
14.5 0.0349178
15.5 0.0324178
16.5 0.0309496
17.5 0.0291259
18.5 0.027723
19.5 0.0263615
20.5 0.0252155
