# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:03:00 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
6.7839 4.8920e+06 3.4501e+06 7.3512e+06 3.5558e+06 7.2439e+06 4.3500e+06 5.6106e+06 5.6822e+06 4.3346e+06 5.8142e+06 3.5558e+06 7.2439e+06 3.6677e+06
7.0352 4.2547e+06 3.0233e+06 6.3315e+06 3.1110e+06 6.2414e+06 3.7981e+06 4.8597e+06 4.9612e+06 3.7649e+06 5.0227e+06 3.1110e+06 6.2414e+06 3.2340e+06
7.2864 3.7119e+06 2.6564e+06 5.4733e+06 2.7296e+06 5.3975e+06 3.3258e+06 4.2233e+06 4.3418e+06 3.2809e+06 4.3546e+06 2.7296e+06 5.3975e+06 2.8568e+06
7.5377 3.2480e+06 2.3403e+06 4.7480e+06 2.4014e+06 4.6839e+06 2.9204e+06 3.6819e+06 3.8085e+06 2.8682e+06 3.7882e+06 2.4014e+06 4.6839e+06 2.5282e+06
7.7889 2.8504e+06 2.0670e+06 4.1326e+06 2.1184e+06 4.0782e+06 2.5715e+06 3.2198e+06 3.3482e+06 2.5150e+06 3.3061e+06 2.1184e+06 4.0782e+06 2.2417e+06
8.0402 2.5084e+06 1.8303e+06 3.6084e+06 1.8735e+06 3.5621e+06 2.2702e+06 2.8240e+06 2.9502e+06 2.2117e+06 2.8943e+06 1.8735e+06 3.5621e+06 1.9915e+06
8.2915 2.2134e+06 1.6246e+06 3.1603e+06 1.6611e+06 3.1208e+06 2.0093e+06 2.4841e+06 2.6058e+06 1.9505e+06 2.5414e+06 1.6611e+06 3.1208e+06 1.7728e+06
8.5427 1.9583e+06 1.4454e+06 2.7760e+06 1.4764e+06 2.7421e+06 1.7828e+06 2.1912e+06 2.3072e+06 1.7248e+06 2.2380e+06 1.4764e+06 2.7421e+06 1.5814e+06
8.7940 1.7370e+06 1.2889e+06 2.4452e+06 1.3152e+06 2.4160e+06 1.5856e+06 1.9381e+06 2.0475e+06 1.5292e+06 1.9763e+06 1.3152e+06 2.4160e+06 1.4134e+06
9.0452 1.5444e+06 1.1518e+06 2.1596e+06 1.1742e+06 2.1344e+06 1.4135e+06 1.7186e+06 1.8211e+06 1.3592e+06 1.7498e+06 1.1742e+06 2.1344e+06 1.2658e+06
