pT v2max v2min
5.06620 0.0455 0.0361
6.65410 0.0472 0.0372
8.54440 0.0466 0.0350
10.6616 0.0439 0.0323
12.6276 0.0400 0.0290
14.7448 0.0367 0.0251
17.0132 0.0345 0.0223
19.0548 0.0312 0.0207
21.5501 0.0284 0.0185
23.4405 0.0273 0.0157
25.7845 0.0251 0.0135
28.8847 0.0223 0.0119
32.0605 0.0196 0.0086
34.1777 0.0190 0.0086
36.8998 0.0174 0.0063
40.0000 0.0141 0.0041
