pT v2max v2min
8.00000 0.0724 0.0584
9.60000 0.0719 0.0580
11.2000 0.0710 0.0571
13.2000 0.0688 0.0553
15.3600 0.0665 0.0535
18.3200 0.0629 0.0503
21.6000 0.0593 0.0476
24.8800 0.0562 0.0445
28.4800 0.0530 0.0418
30.5600 0.0512 0.0404
33.2000 0.0490 0.0387
36.2400 0.0472 0.0369
38.5600 0.0454 0.0360
40.0000 0.0449 0.0351
