pT v2max v2min
8.01560 0.0501 0.0391
9.96110 0.0492 0.0391
12.5292 0.0479 0.0374
14.8638 0.0452 0.0356
16.8093 0.0435 0.0339
18.2101 0.0422 0.0330
20.1556 0.0404 0.0317
22.1790 0.0387 0.0302
24.3580 0.0369 0.0291
26.6926 0.0361 0.0273
28.5603 0.0343 0.0264
30.2724 0.0334 0.0256
32.5292 0.0321 0.0251
34.0856 0.0313 0.0243
36.3424 0.0299 0.0230
38.6770 0.0291 0.0225
40.0000 0.0286 0.0221
