pT v2max v2min
5.20750 0.1104 0.0966
7.32080 0.1096 0.0952
9.73580 0.1057 0.0908
11.6981 0.1016 0.0873
14.3396 0.0961 0.0815
16.8302 0.0906 0.0763
20.3019 0.0829 0.0697
22.7170 0.0788 0.0658
25.3585 0.0752 0.0622
27.5472 0.0722 0.0603
31.1698 0.0678 0.0562
35.1698 0.0637 0.0527
37.5094 0.0612 0.0510
39.9245 0.0593 0.0494
