pT v2max v2min
5.08410 0.1164 0.1009
6.07500 0.1172 0.1013
7.37030 0.1172 0.1013
9.04580 0.1159 0.1001
10.7210 0.1138 0.0975
12.5483 0.1112 0.0949
14.0709 0.1086 0.0923
15.6693 0.1052 0.0898
17.6490 0.1026 0.0868
19.3238 0.0996 0.0846
21.3035 0.0971 0.0816
23.2064 0.0932 0.0795
25.1102 0.0910 0.0773
27.2425 0.0889 0.0747
29.4510 0.0868 0.0726
31.5829 0.0838 0.0705
33.5630 0.0820 0.0687
35.9241 0.0803 0.0666
37.9045 0.0790 0.0657
40.0370 0.0773 0.0636
