pT v2max v2min
8.15380 0.0611 0.0482
9.38460 0.0607 0.0482
10.6923 0.0598 0.0473
12.3077 0.0585 0.0460
13.3077 0.0573 0.0452
15.0000 0.0555 0.0439
16.6923 0.0538 0.0422
18.5385 0.0516 0.0409
20.2308 0.0504 0.0400
21.6923 0.0491 0.0383
23.0000 0.0478 0.0374
24.3077 0.0469 0.0370
26.5385 0.0447 0.0353
28.0769 0.0435 0.0340
29.7692 0.0426 0.0331
31.3846 0.0413 0.0322
34.1538 0.0396 0.0314
36.0769 0.0387 0.0301
37.6154 0.0378 0.0292
39.1538 0.0374 0.0292
40.1538 0.0365 0.0288
