pT v2
0.104821999999999 0.004031540
0.115172999999999 0.005690480
0.126547000000001 0.009188450
0.139043999999999 -0.00876761
0.152776000000002 0.008524350
0.167862999999998 0.006540460
0.184439999999999 0.005758380
0.202654999999997 0.007398660
0.222667999999999 0.003592640
0.244658000000001 0.006247420
0.268818999999998 0.008320480
0.295366000000001 0.014956600
0.324534999999998 0.009490040
0.356584999999997 0.015013600
0.391798999999999 0.013675800
0.430490999999997 0.016738700
0.473005000000001 0.017862800
0.519715999999996 0.024810200
0.571041000000000 0.025704500
0.627433999999995 0.032835400
0.689397000000001 0.038626700
0.757477999999995 0.043910900
0.832283000000004 0.047735100
0.914474999999994 0.054097000
1.00477999999999 0.0583342000
1.10401000000001 0.0656083000
1.21303999999999 0.0693326000
1.33282999999999 0.0754752000
1.46446000000000 0.0769503000
1.60907999999998 0.0835739000
1.76797999999999 0.0851704000
1.94258000000001 0.0879495000
2.13441999999999 0.0899485000
2.34520999999997 0.0879097000
2.57681000000002 0.0892792000
2.83128000000003 0.0872851000
3.11088999999999 0.0824867000
3.41810000000003 0.0826792000
3.75566000000002 0.0779351000
4.12654999999997 0.0693526000
4.53406999999999 0.0722823000
4.98183000000000 0.0638919000
5.47380999999997 0.0641870000
6.01438000000004 0.0552222000
6.60833000000002 0.0571344000
7.26094000000002 0.0378842000
7.97798999999995 0.0509335000
8.76586000000001 0.0235175000
9.63153000000001 0.0161446000
10.5826999999999 0.0305917000
11.6278000000001 0.0389040000
12.7761000000000 0.0696464000
14.0378000000000 0.0508421000
15.4241000000001 -0.001752470
16.9472999999999 0.0540120000
18.6210000000000 0.0218895000
20.4598999999999 0.0316267000
