pT v2
0.104821999999999 0.00728173
0.115172999999999 -0.00168469
0.126547000000001 -0.00252402
0.139043999999999 0.00200319
0.152776000000002 0.00422332
0.167862999999998 -0.00164439
0.184439999999998 -0.00525848
0.202654999999996 -0.00361987
0.222667999999999 0.00658971
0.244657999999997 0.00723486
0.268819000000001 0.00685485
0.295366000000001 0.0121153
0.324534999999998 0.00773872
0.356584999999997 0.0106964
0.391798999999997 0.0135188
0.430491 0.0133169
0.473005000000001 0.0208729
0.519716000000002 0.0217234
0.571040999999994 0.0288746
0.627433999999995 0.0340617
0.689396999999996 0.0396309
0.757477999999994 0.0519198
0.832283 0.0607109
0.914475000000003 0.072771
1.00477999999999 0.0848936
1.10401000000001 0.101599
1.21303999999999 0.116576
1.33282999999997 0.132483
1.46446000000001 0.147602
1.60907999999997 0.163739
1.76798000000001 0.181478
1.94257999999999 0.196841
2.13442000000002 0.2127
2.34520999999997 0.219711
2.57681000000002 0.22869
2.83128000000005 0.231897
3.11088999999997 0.237713
3.41810000000001 0.229704
3.75565999999997 0.225983
4.12654999999996 0.211971
4.53407000000004 0.202917
4.98183000000005 0.187344
5.47380999999996 0.17457
6.01438000000003 0.148285
6.60833000000002 0.143702
7.26094000000005 0.140362
7.97799000000006 0.121751
8.76586000000013 0.108333
9.63152999999991 0.101355
10.5826999999999 0.0590268
11.6278000000002 0.0938366
12.7760999999999 0.0658533
14.0378000000001 0.0762459
15.4241000000001 0.0980903
16.9472999999999 0.0741503
18.6209999999997 0.0393219
20.4598999999999 0.0308136
