0.755 0.0480162 0.0568111 0.0655999
2.25 0.119127 0.140224 0.152598
3.75 0.118551 0.148133 0.166197
5.25 0.109695 0.120383 0.131033
6.75 0.102563 0.120768 0.139048
8.25 0.0837253 0.109156 0.134614
9.75 0.0781212 0.0967237 0.115341
11.25 0.0747109 0.0884994 0.102365
12.75 0.0703989 0.078867 0.0873915
14.25 0.053206 0.070625 0.0880502
15.75 0.0539113 0.0631068 0.0723156
17.25 0.0510884 0.0640206 0.0769573
18.75 0.0505303 0.0625003 0.0744742
20.25 0.0511367 0.0648666 0.0786016
21.75 0.050608 0.0638372 0.0770714
23.25 0.0469793 0.0581411 0.0693061
24.75 0.0412532 0.0598166 0.0783802
