# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 1.132e-01 2.532e-03
2.50 2.00 3.00 1.947e-01 3.561e-03
3.50 3.00 4.00 2.006e-01 4.968e-03
4.50 4.00 5.00 1.644e-01 7.118e-03
5.50 5.00 6.00 1.139e-01 7.817e-03
6.50 6.00 7.00 8.749e-02 8.074e-03
7.50 7.00 8.00 8.362e-02 6.146e-03
9.00 8.00 10.0 7.871e-02 4.276e-03
11.0 10.0 12.0 6.188e-02 3.800e-03
14.0 12.0 16.0 5.129e-02 2.541e-03
20.0 16.0 24.0 4.215e-02 1.933e-03
