# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 1.845e-02 2.956e-03
2.50 2.00 3.00 2.467e-02 4.350e-03
3.50 3.00 4.00 3.704e-02 7.491e-03
4.50 4.00 5.00 2.223e-02 1.104e-02
5.50 5.00 6.00 2.138e-02 1.382e-02
6.50 6.00 7.00 3.630e-02 1.243e-02
7.50 7.00 8.00 5.052e-03 9.221e-03
9.00 8.00 10.0 -9.072e-04 9.848e-03
11.0 10.0 12.0 2.659e-03 6.385e-03
14.0 12.0 16.0 5.980e-03 3.920e-03
20.0 16.0 24.0 6.758e-03 3.053e-03
