# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 1.508e+00 5.942e-02
2.50 2.00 3.00 1.593e+00 4.784e-02
3.50 3.00 4.00 1.468e+00 6.220e-02
4.50 4.00 5.00 1.386e+00 1.130e-01
5.50 5.00 6.00 1.417e+00 2.042e-01
6.50 6.00 7.00 1.150e+00 2.270e-01
7.50 7.00 8.00 1.239e+00 2.355e-01
9.00 8.00 10.0 1.293e+00 3.059e-01
11.0 10.0 12.0 1.638e+00 2.160e-01
14.0 12.0 16.0 1.745e+00 1.574e-01
20.0 16.0 24.0 1.491e+00 1.629e-01
