# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 1.039e+02 7.512e-01
2.50 2.00 3.00 5.297e+01 4.347e-01
3.50 3.00 4.00 1.782e+01 1.955e-01
4.50 4.00 5.00 6.359e+00 8.543e-02
5.50 5.00 6.00 2.527e+00 3.790e-02
6.50 6.00 7.00 1.196e+00 1.783e-02
7.50 7.00 8.00 6.492e-01 7.930e-03
9.00 8.00 10.0 6.064e-01 6.436e-03
11.0 10.0 12.0 2.446e-01 2.329e-03
14.0 12.0 16.0 1.740e-01 1.293e-03
20.0 16.0 24.0 7.367e-02 4.937e-04
30.0 24.0 36.0 1.593e-02 1.118e-04
43.0 36.0 50.0 2.698e-03 2.174e-05
