# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 3.283e-02 1.204e-03
2.50 2.00 3.00 5.761e-02 1.757e-03
3.50 3.00 4.00 7.020e-02 2.783e-03
4.50 4.00 5.00 5.923e-02 4.276e-03
5.50 5.00 6.00 3.761e-02 4.744e-03
6.50 6.00 7.00 3.242e-02 4.719e-03
7.50 7.00 8.00 2.740e-02 3.968e-03
9.00 8.00 10.0 1.466e-02 2.882e-03
11.0 10.0 12.0 1.641e-02 2.177e-03
14.0 12.0 16.0 1.679e-02 1.647e-03
20.0 16.0 24.0 1.101e-02 1.105e-03
