# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 4.952e-02 2.672e-03
2.50 2.00 3.00 9.177e-02 3.706e-03
3.50 3.00 4.00 1.030e-01 5.815e-03
4.50 4.00 5.00 8.207e-02 9.006e-03
5.50 5.00 6.00 5.330e-02 1.044e-02
6.50 6.00 7.00 3.728e-02 9.356e-03
7.50 7.00 8.00 3.395e-02 8.876e-03
9.00 8.00 10.0 1.896e-02 5.509e-03
11.0 10.0 12.0 2.688e-02 4.270e-03
14.0 12.0 16.0 2.930e-02 3.836e-03
20.0 16.0 24.0 1.642e-02 2.531e-03
