# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 6.415e-01 3.220e-02
2.50 2.00 3.00 5.676e-01 2.504e-02
3.50 3.00 4.00 5.748e-01 3.546e-02
4.50 4.00 5.00 6.234e-01 5.617e-02
5.50 5.00 6.00 6.470e-01 9.295e-02
6.50 6.00 7.00 6.268e-01 9.847e-02
7.50 7.00 8.00 5.940e-01 1.029e-01
9.00 8.00 10.0 6.509e-01 8.382e-02
11.0 10.0 12.0 7.505e-01 8.767e-02
14.0 12.0 16.0 5.642e-01 6.678e-02
20.0 16.0 24.0 6.732e-01 6.206e-02
