# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 7.996e+02 5.626e+00
2.50 2.00 3.00 3.899e+02 3.435e+00
3.50 3.00 4.00 1.110e+02 1.346e+00
4.50 4.00 5.00 3.023e+01 5.167e-01
5.50 5.00 6.00 1.082e+01 2.377e-01
6.50 6.00 7.00 4.645e+00 1.072e-01
7.50 7.00 8.00 2.386e+00 3.370e-02
9.00 8.00 10.0 2.381e+00 4.248e-02
11.0 10.0 12.0 9.693e-01 1.011e-02
14.0 12.0 16.0 7.216e-01 5.867e-03
20.0 16.0 24.0 3.215e-01 2.421e-03
30.0 24.0 36.0 7.314e-02 5.443e-04
43.0 36.0 50.0 1.306e-02 1.148e-04
