# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 7.635e+02 5.580e+00
2.50 2.00 3.00 3.779e+02 3.309e+00
3.50 3.00 4.00 1.105e+02 1.390e+00
4.50 4.00 5.00 3.164e+01 5.582e-01
5.50 5.00 6.00 1.021e+01 2.189e-01
6.50 6.00 7.00 4.539e+00 8.933e-02
7.50 7.00 8.00 2.472e+00 4.202e-02
9.00 8.00 10.0 2.308e+00 2.593e-02
11.0 10.0 12.0 9.828e-01 1.028e-02
14.0 12.0 16.0 7.159e-01 6.392e-03
20.0 16.0 24.0 3.227e-01 2.517e-03
30.0 24.0 36.0 7.291e-02 5.853e-04
43.0 36.0 50.0 1.332e-02 1.378e-04
