# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 5.344e-02 2.756e-03
2.50 2.00 3.00 8.296e-02 3.749e-03
3.50 3.00 4.00 8.634e-02 5.470e-03
4.50 4.00 5.00 7.722e-02 7.143e-03
5.50 5.00 6.00 5.835e-02 8.677e-03
6.50 6.00 7.00 4.670e-02 7.511e-03
7.50 7.00 8.00 3.582e-02 6.355e-03
9.00 8.00 10.0 3.500e-02 4.624e-03
11.0 10.0 12.0 3.502e-02 4.203e-03
14.0 12.0 16.0 2.333e-02 2.820e-03
20.0 16.0 24.0 2.141e-02 2.020e-03
