# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 5.619e-01 8.907e-02
2.50 2.00 3.00 4.282e-01 7.454e-02
3.50 3.00 4.00 5.276e-01 1.052e-01
4.50 4.00 5.00 3.754e-01 1.840e-01
5.50 5.00 6.00 5.685e-01 3.608e-01
6.50 6.00 7.00 1.120e+00 3.915e-01
7.50 7.00 8.00 1.843e-01 3.337e-01
9.00 8.00 10.0 -6.187e-02 6.743e-01
11.0 10.0 12.0 1.620e-01 3.856e-01
14.0 12.0 16.0 3.561e-01 2.308e-01
20.0 16.0 24.0 6.136e-01 2.732e-01
