# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 1.360e+00 2.445e-02
2.50 2.00 3.00 1.332e+00 1.998e-02
3.50 3.00 4.00 1.335e+00 2.708e-02
4.50 4.00 5.00 1.327e+00 4.474e-02
5.50 5.00 6.00 1.263e+00 6.737e-02
6.50 6.00 7.00 1.174e+00 8.418e-02
7.50 7.00 8.00 1.387e+00 8.243e-02
9.00 8.00 10.0 1.464e+00 6.513e-02
11.0 10.0 12.0 1.326e+00 6.576e-02
14.0 12.0 16.0 1.240e+00 5.335e-02
20.0 16.0 24.0 1.326e+00 4.930e-02
