# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 1.059e+02 3.252e-01
2.50 2.00 3.00 5.398e+01 1.934e-01
3.50 3.00 4.00 1.823e+01 8.582e-02
4.50 4.00 5.00 6.324e+00 3.795e-02
5.50 5.00 6.00 2.543e+00 1.690e-02
6.50 6.00 7.00 1.216e+00 7.719e-03
7.50 7.00 8.00 6.566e-01 3.944e-03
9.00 8.00 10.0 6.233e-01 2.832e-03
11.0 10.0 12.0 2.522e-01 1.040e-03
14.0 12.0 16.0 1.795e-01 6.061e-04
20.0 16.0 24.0 7.578e-02 2.223e-04
30.0 24.0 36.0 1.640e-02 4.999e-05
43.0 36.0 50.0 2.782e-03 1.002e-05
