# pT	pTlow	pThigh	v2[pT]	v2-error
1.50 1.00 2.00 8.568e-02 1.894e-03
2.50 2.00 3.00 1.463e-01 2.811e-03
3.50 3.00 4.00 1.422e-01 3.736e-03
4.50 4.00 5.00 1.142e-01 4.746e-03
5.50 5.00 6.00 9.009e-02 4.947e-03
6.50 6.00 7.00 7.559e-02 5.042e-03
7.50 7.00 8.00 6.254e-02 5.276e-03
9.00 8.00 10.0 5.649e-02 2.957e-03
11.0 10.0 12.0 4.729e-02 2.729e-03
14.0 12.0 16.0 4.106e-02 2.148e-03
20.0 16.0 24.0 3.251e-02 1.730e-03
