# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 8.330e-02 1.240e-03
2.50 2.00 3.00 1.462e-01 1.857e-03
3.50 3.00 4.00 1.502e-01 2.494e-03
4.50 4.00 5.00 1.239e-01 3.209e-03
5.50 5.00 6.00 9.018e-02 3.433e-03
6.50 6.00 7.00 7.450e-02 3.410e-03
7.50 7.00 8.00 6.031e-02 2.907e-03
9.00 8.00 10.0 5.376e-02 2.024e-03
11.0 10.0 12.0 4.666e-02 1.767e-03
14.0 12.0 16.0 4.135e-02 1.349e-03
20.0 16.0 24.0 3.180e-02 9.102e-04
