# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 1.084e+02 7.274e-01
2.50 2.00 3.00 5.493e+01 4.324e-01
3.50 3.00 4.00 1.838e+01 1.903e-01
4.50 4.00 5.00 6.356e+00 8.937e-02
5.50 5.00 6.00 2.626e+00 3.830e-02
6.50 6.00 7.00 1.234e+00 1.714e-02
7.50 7.00 8.00 6.689e-01 8.791e-03
9.00 8.00 10.0 6.329e-01 6.469e-03
11.0 10.0 12.0 2.572e-01 2.265e-03
14.0 12.0 16.0 1.816e-01 1.319e-03
20.0 16.0 24.0 7.722e-02 5.130e-04
30.0 24.0 36.0 1.680e-02 1.132e-04
43.0 36.0 50.0 2.852e-03 2.269e-05
