# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 7.913e+02 2.507e+00
2.50 2.00 3.00 3.887e+02 1.465e+00
3.50 3.00 4.00 1.114e+02 5.931e-01
4.50 4.00 5.00 3.068e+01 2.332e-01
5.50 5.00 6.00 1.036e+01 9.680e-02
6.50 6.00 7.00 4.641e+00 4.548e-02
7.50 7.00 8.00 2.445e+00 1.875e-02
9.00 8.00 10.0 2.353e+00 1.616e-02
11.0 10.0 12.0 9.796e-01 4.721e-03
14.0 12.0 16.0 7.217e-01 2.884e-03
20.0 16.0 24.0 3.221e-01 1.056e-03
30.0 24.0 36.0 7.364e-02 2.498e-04
43.0 36.0 50.0 1.312e-02 5.425e-05
