# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 21 16:45:22 CET 2026
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2680, ebeam2 = 2680
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 100
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
6.5163 2.1078e+06 1.4776e+06 3.0134e+06 1.5189e+06 2.9768e+06 1.8835e+06 2.3624e+06 2.2876e+06 1.9640e+06 2.5297e+06 1.5803e+06 2.9768e+06 1.5189e+06
6.7669 1.9592e+06 1.3859e+06 2.7964e+06 1.4230e+06 2.7644e+06 1.7563e+06 2.1887e+06 2.1366e+06 1.8190e+06 2.3442e+06 1.4699e+06 2.7644e+06 1.4230e+06
7.0175 1.8199e+06 1.2984e+06 2.5930e+06 1.3318e+06 2.5648e+06 1.6363e+06 2.0267e+06 1.9933e+06 1.6838e+06 2.1709e+06 1.3664e+06 2.5648e+06 1.3318e+06
7.2682 1.6895e+06 1.2161e+06 2.4029e+06 1.2462e+06 2.3781e+06 1.5235e+06 1.8760e+06 1.8590e+06 1.5583e+06 2.0093e+06 1.2696e+06 2.3781e+06 1.2462e+06
7.5188 1.5680e+06 1.1397e+06 2.2258e+06 1.1669e+06 2.2040e+06 1.4178e+06 1.7363e+06 1.7350e+06 1.4419e+06 1.8592e+06 1.1794e+06 2.2040e+06 1.1669e+06
7.7694 1.4551e+06 1.0694e+06 2.0613e+06 1.0942e+06 2.0420e+06 1.3191e+06 1.6069e+06 1.6213e+06 1.3342e+06 1.7202e+06 1.0956e+06 2.0420e+06 1.0942e+06
8.0201 1.3502e+06 9.9565e+05 1.9088e+06 1.0177e+06 1.8917e+06 1.2270e+06 1.4873e+06 1.5160e+06 1.2347e+06 1.5915e+06 1.0177e+06 1.8917e+06 1.0273e+06
8.2707 1.2529e+06 9.2591e+05 1.7676e+06 9.4555e+05 1.7524e+06 1.1413e+06 1.3769e+06 1.4143e+06 1.1429e+06 1.4726e+06 9.4555e+05 1.7524e+06 9.6173e+05
8.5213 1.1629e+06 8.6120e+05 1.6370e+06 8.7869e+05 1.6236e+06 1.0617e+06 1.2751e+06 1.3164e+06 1.0583e+06 1.3629e+06 8.7869e+05 1.6236e+06 8.9778e+05
8.7719 1.0796e+06 8.0123e+05 1.5165e+06 8.1683e+05 1.5045e+06 9.8776e+05 1.1812e+06 1.2250e+06 9.8042e+05 1.2618e+06 8.1683e+05 1.5045e+06 8.3789e+05
9.0226 1.0027e+06 7.4567e+05 1.4052e+06 7.5960e+05 1.3945e+06 9.1919e+05 1.0948e+06 1.1398e+06 9.0867e+05 1.1686e+06 7.5960e+05 1.3945e+06 7.8196e+05
9.2732 9.3155e+05 6.9422e+05 1.3026e+06 7.0669e+05 1.2930e+06 8.5564e+05 1.0151e+06 1.0610e+06 8.4261e+05 1.0828e+06 7.0669e+05 1.2930e+06 7.3004e+05
9.5238 8.6587e+05 6.4661e+05 1.2079e+06 6.5779e+05 1.1994e+06 7.9677e+05 9.4181e+05 9.8857e+05 7.8180e+05 1.0038e+06 6.5779e+05 1.1994e+06 6.8224e+05
9.7744 8.0520e+05 6.0255e+05 1.1207e+06 6.1258e+05 1.1131e+06 7.4224e+05 8.7427e+05 9.2156e+05 7.2582e+05 9.3105e+05 6.1258e+05 1.1131e+06 6.3791e+05
10.0251 7.4917e+05 5.6176e+05 1.0403e+06 5.7078e+05 1.0334e+06 6.9174e+05 8.1205e+05 8.5924e+05 6.7426e+05 8.6407e+05 5.7078e+05 1.0334e+06 5.9654e+05
10.2757 6.9740e+05 5.2401e+05 9.6615e+05 5.3213e+05 9.5996e+05 6.4497e+05 7.5471e+05 8.0134e+05 6.2676e+05 8.0238e+05 5.3213e+05 9.5996e+05 5.5796e+05
10.5263 6.4957e+05 4.8906e+05 8.9778e+05 4.9638e+05 8.9221e+05 6.0165e+05 7.0186e+05 7.4755e+05 5.8298e+05 7.4555e+05 4.9638e+05 8.9221e+05 5.2201e+05
10.7769 6.0538e+05 4.5670e+05 8.3473e+05 4.6331e+05 8.2970e+05 5.6154e+05 6.5314e+05 6.9762e+05 5.4264e+05 6.9319e+05 4.6331e+05 8.2970e+05 4.8853e+05
11.0276 5.6454e+05 4.2674e+05 7.7658e+05 4.3272e+05 7.7204e+05 5.2439e+05 6.0820e+05 6.5130e+05 5.0543e+05 6.4493e+05 4.3272e+05 7.7204e+05 4.5737e+05
11.2782 5.2678e+05 3.9898e+05 7.2294e+05 4.0440e+05 7.1883e+05 4.8998e+05 5.6675e+05 6.0833e+05 4.7112e+05 6.0045e+05 4.0440e+05 7.1883e+05 4.2837e+05
11.5288 4.9188e+05 3.7327e+05 6.7345e+05 3.7818e+05 6.6972e+05 4.5810e+05 5.2850e+05 5.6848e+05 4.3946e+05 5.5943e+05 3.7818e+05 6.6972e+05 4.0140e+05
11.7794 4.5959e+05 3.4945e+05 6.2779e+05 3.5391e+05 6.2440e+05 4.2856e+05 4.9318e+05 5.3155e+05 4.1023e+05 5.2160e+05 3.5391e+05 6.2440e+05 3.7632e+05
12.0301 4.2969e+05 3.2733e+05 5.8558e+05 3.3139e+05 5.8250e+05 4.0116e+05 4.6052e+05 4.9732e+05 3.8320e+05 4.8665e+05 3.3139e+05 5.8250e+05 3.5303e+05
12.2807 4.0196e+05 3.0679e+05 5.4654e+05 3.1048e+05 5.4374e+05 3.7570e+05 4.3029e+05 4.6558e+05 3.5818e+05 4.5433e+05 3.1048e+05 5.4374e+05 3.3137e+05
12.5313 3.7624e+05 2.8770e+05 5.1041e+05 2.9106e+05 5.0786e+05 3.5206e+05 4.0230e+05 4.3613e+05 3.3502e+05 4.2443e+05 2.9106e+05 5.0786e+05 3.1123e+05
12.7820 3.5238e+05 2.6995e+05 4.7696e+05 2.7302e+05 4.7463e+05 3.3009e+05 3.7636e+05 4.0878e+05 3.1356e+05 3.9675e+05 2.7302e+05 4.7463e+05 2.9249e+05
13.0326 3.3023e+05 2.5345e+05 4.4598e+05 2.5625e+05 4.4385e+05 3.0967e+05 3.5232e+05 3.8338e+05 2.9366e+05 3.7111e+05 2.5625e+05 4.4385e+05 2.7503e+05
13.2832 3.0966e+05 2.3809e+05 4.1726e+05 2.4066e+05 4.1532e+05 2.9067e+05 3.3003e+05 3.5976e+05 2.7521e+05 3.4736e+05 2.4066e+05 4.1532e+05 2.5876e+05
13.5338 2.9055e+05 2.2381e+05 3.9064e+05 2.2615e+05 3.8885e+05 2.7301e+05 3.0935e+05 3.3780e+05 2.5809e+05 3.2534e+05 2.2615e+05 3.8885e+05 2.4358e+05
13.7845 2.7279e+05 2.1050e+05 3.6594e+05 2.1265e+05 3.6430e+05 2.5657e+05 2.9016e+05 3.1735e+05 2.4220e+05 3.0492e+05 2.1265e+05 3.6430e+05 2.2942e+05
14.0351 2.5628e+05 1.9811e+05 3.4301e+05 2.0008e+05 3.4152e+05 2.4126e+05 2.7234e+05 2.9831e+05 2.2744e+05 2.8597e+05 2.0008e+05 3.4152e+05 2.1620e+05
14.2857 2.4092e+05 1.8657e+05 3.2173e+05 1.8838e+05 3.2035e+05 2.2701e+05 2.5578e+05 2.8056e+05 2.1372e+05 2.6837e+05 1.8838e+05 3.2035e+05 2.0384e+05
14.5363 2.2663e+05 1.7581e+05 3.0196e+05 1.7747e+05 3.0069e+05 2.1373e+05 2.4039e+05 2.6402e+05 2.0097e+05 2.5203e+05 1.7747e+05 3.0069e+05 1.9229e+05
