pT(GeV) v2_1 v2_2
7.91800 0.1044 0.0914
8.98860 0.0982 0.0856
10.3793 0.0914 0.0794
12.3039 0.0836 0.0726
14.0137 0.0779 0.0679
16.6838 0.0711 0.0617
18.7123 0.0669 0.0580
21.5941 0.0623 0.0539
24.3689 0.0581 0.0508
26.7161 0.0555 0.0482
28.9564 0.0535 0.0461
31.0905 0.0509 0.0446
33.1168 0.0498 0.0430
35.4633 0.0483 0.0420
37.2768 0.0467 0.0405
39.8365 0.0452 0.0395
42.2896 0.0437 0.0384
44.5288 0.0432 0.0374
46.6617 0.0421 0.0364
48.9012 0.0411 0.0359
51.8870 0.0401 0.0349
