pT(GeV) v2_1 v2_2
7.88910 0.0395 0.0218
10.0213 0.0364 0.0202
12.7932 0.0333 0.0186
15.8849 0.0307 0.0176
18.1237 0.0291 0.0171
20.1493 0.0280 0.0166
23.1343 0.0265 0.0160
25.1599 0.0260 0.0155
27.1855 0.0254 0.0155
29.6375 0.0244 0.0155
33.4755 0.0233 0.0150
35.8209 0.0228 0.0145
38.5928 0.0223 0.0145
41.1514 0.0223 0.0150
44.0299 0.0213 0.0145
46.5885 0.0207 0.0145
49.2537 0.0207 0.0139
51.9190 0.0202 0.0139
