# pT	pTlow	pThigh	v3[pT]	v3-error
1.50 1.00 2.00 1.044e-02 2.304e-03
2.50 2.00 3.00 4.043e-02 3.572e-03
3.50 3.00 4.00 5.292e-02 6.068e-03
4.50 4.00 5.00 4.770e-02 8.993e-03
5.50 5.00 6.00 3.395e-02 1.040e-02
6.50 6.00 7.00 1.845e-02 1.262e-02
7.50 7.00 8.00 2.831e-02 8.656e-03
9.00 8.00 10.0 5.512e-03 6.860e-03
11.0 10.0 12.0 1.883e-02 6.267e-03
14.0 12.0 16.0 3.938e-03 3.379e-03
20.0 16.0 24.0 5.246e-03 2.879e-03
