# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 2.207e-02 6.227e-03
2.50 2.00 3.00 2.648e-02 8.644e-03
3.50 3.00 4.00 -3.924e-03 1.274e-02
4.50 4.00 5.00 2.793e-02 1.986e-02
5.50 5.00 6.00 1.070e-02 2.364e-02
6.50 6.00 7.00 1.711e-02 3.225e-02
7.50 7.00 8.00 -6.123e-03 2.365e-02
9.00 8.00 10.0 2.653e-03 2.056e-02
11.0 10.0 12.0 -1.326e-02 1.451e-02
14.0 12.0 16.0 -7.392e-03 8.420e-03
20.0 16.0 24.0 4.818e-03 6.594e-03
