# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 7.995e+02 1.056e+01
2.50 2.00 3.00 4.024e+02 6.217e+00
3.50 3.00 4.00 1.200e+02 2.687e+00
4.50 4.00 5.00 3.216e+01 1.147e+00
5.50 5.00 6.00 1.076e+01 4.419e-01
6.50 6.00 7.00 4.972e+00 2.479e-01
7.50 7.00 8.00 2.606e+00 9.235e-02
9.00 8.00 10.0 2.386e+00 7.166e-02
11.0 10.0 12.0 9.927e-01 1.976e-02
14.0 12.0 16.0 7.390e-01 1.347e-02
20.0 16.0 24.0 3.280e-01 5.046e-03
30.0 24.0 36.0 7.649e-02 1.550e-03
43.0 36.0 50.0 1.469e-02 3.113e-04
