# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 8.545e-02 1.854e-03
2.50 2.00 3.00 1.467e-01 2.768e-03
3.50 3.00 4.00 1.422e-01 3.659e-03
4.50 4.00 5.00 1.145e-01 4.655e-03
5.50 5.00 6.00 8.944e-02 4.874e-03
6.50 6.00 7.00 7.561e-02 4.939e-03
7.50 7.00 8.00 6.336e-02 5.154e-03
9.00 8.00 10.0 5.558e-02 2.909e-03
11.0 10.0 12.0 4.772e-02 2.667e-03
14.0 12.0 16.0 4.118e-02 2.101e-03
20.0 16.0 24.0 3.270e-02 1.690e-03
