# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 7.368e+02 4.438e+00
2.50 2.00 3.00 3.730e+02 2.690e+00
3.50 3.00 4.00 1.098e+02 1.091e+00
4.50 4.00 5.00 3.034e+01 4.587e-01
5.50 5.00 6.00 1.015e+01 1.815e-01
6.50 6.00 7.00 4.582e+00 8.675e-02
7.50 7.00 8.00 2.409e+00 3.589e-02
9.00 8.00 10.0 2.285e+00 2.507e-02
11.0 10.0 12.0 9.535e-01 9.700e-03
14.0 12.0 16.0 6.970e-01 5.418e-03
20.0 16.0 24.0 3.131e-01 2.369e-03
30.0 24.0 36.0 7.270e-02 6.072e-04
43.0 36.0 50.0 1.373e-02 1.319e-04
