# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 1.133e-01 3.457e-03
2.50 2.00 3.00 1.882e-01 5.055e-03
3.50 3.00 4.00 1.834e-01 7.177e-03
4.50 4.00 5.00 1.529e-01 9.649e-03
5.50 5.00 6.00 1.137e-01 1.015e-02
6.50 6.00 7.00 9.563e-02 1.114e-02
7.50 7.00 8.00 9.321e-02 1.168e-02
9.00 8.00 10.0 6.398e-02 5.478e-03
11.0 10.0 12.0 5.192e-02 5.548e-03
14.0 12.0 16.0 5.460e-02 4.908e-03
20.0 16.0 24.0 4.554e-02 3.602e-03
