# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 6.733e+02 8.848e+00
2.50 2.00 3.00 3.430e+02 5.485e+00
3.50 3.00 4.00 1.019e+02 2.336e+00
4.50 4.00 5.00 2.850e+01 9.082e-01
5.50 5.00 6.00 9.622e+00 3.628e-01
6.50 6.00 7.00 4.305e+00 1.274e-01
7.50 7.00 8.00 2.271e+00 7.958e-02
9.00 8.00 10.0 2.200e+00 5.176e-02
11.0 10.0 12.0 9.223e-01 2.462e-02
14.0 12.0 16.0 6.670e-01 1.125e-02
20.0 16.0 24.0 3.096e-01 5.835e-03
30.0 24.0 36.0 6.891e-02 1.260e-03
43.0 36.0 50.0 1.253e-02 2.512e-04
