# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 9.094e+01 9.466e-01
2.50 2.00 3.00 4.761e+01 6.019e-01
3.50 3.00 4.00 1.597e+01 2.586e-01
4.50 4.00 5.00 5.483e+00 1.134e-01
5.50 5.00 6.00 2.204e+00 5.300e-02
6.50 6.00 7.00 1.109e+00 2.832e-02
7.50 7.00 8.00 5.916e-01 1.179e-02
9.00 8.00 10.0 5.657e-01 8.173e-03
11.0 10.0 12.0 2.289e-01 3.470e-03
14.0 12.0 16.0 1.620e-01 2.091e-03
20.0 16.0 24.0 6.700e-02 7.925e-04
30.0 24.0 36.0 1.514e-02 1.990e-04
43.0 36.0 50.0 2.674e-03 4.228e-05
