# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 4.691e-02 3.782e-03
2.50 2.00 3.00 8.142e-02 5.371e-03
3.50 3.00 4.00 8.330e-02 7.298e-03
4.50 4.00 5.00 4.590e-02 9.342e-03
5.50 5.00 6.00 5.024e-02 1.254e-02
6.50 6.00 7.00 4.059e-02 1.113e-02
7.50 7.00 8.00 3.731e-02 1.005e-02
9.00 8.00 10.0 3.282e-02 5.360e-03
11.0 10.0 12.0 4.117e-02 5.920e-03
14.0 12.0 16.0 3.104e-02 4.307e-03
20.0 16.0 24.0 1.445e-02 3.241e-03
