# pT	pTlow	pThigh	dSigma/dpT	stat-error
1.50 1.00 2.00 1.004e+02 4.752e-01
2.50 2.00 3.00 5.285e+01 2.892e-01
3.50 3.00 4.00 1.792e+01 1.256e-01
4.50 4.00 5.00 6.093e+00 5.412e-02
5.50 5.00 6.00 2.451e+00 2.452e-02
6.50 6.00 7.00 1.185e+00 1.175e-02
7.50 7.00 8.00 6.441e-01 6.217e-03
9.00 8.00 10.0 6.029e-01 4.227e-03
11.0 10.0 12.0 2.462e-01 1.654e-03
14.0 12.0 16.0 1.740e-01 1.018e-03
20.0 16.0 24.0 7.354e-02 4.039e-04
30.0 24.0 36.0 1.617e-02 9.375e-05
43.0 36.0 50.0 2.913e-03 2.139e-05
