# pT	pTlow	pThigh	v2[pT]	stat-error
1.50 1.00 2.00 4.686e-02 4.802e-03
2.50 2.00 3.00 1.109e-01 7.161e-03
3.50 3.00 4.00 1.014e-01 1.250e-02
4.50 4.00 5.00 8.168e-02 1.927e-02
5.50 5.00 6.00 3.321e-02 2.124e-02
6.50 6.00 7.00 5.361e-02 1.812e-02
7.50 7.00 8.00 5.470e-02 1.167e-02
9.00 8.00 10.0 5.862e-02 1.622e-02
11.0 10.0 12.0 3.470e-02 1.413e-02
14.0 12.0 16.0 3.032e-02 8.048e-03
20.0 16.0 24.0 1.068e-02 7.562e-03
