# pT	pTlow	pThigh	v3[pT]	v3-error
1.50 1.00 2.00 1.486e-02 1.927e-03
2.50 2.00 3.00 4.280e-02 2.741e-03
3.50 3.00 4.00 5.500e-02 4.130e-03
4.50 4.00 5.00 3.529e-02 5.574e-03
5.50 5.00 6.00 2.977e-02 5.714e-03
6.50 6.00 7.00 5.135e-03 7.383e-03
7.50 7.00 8.00 1.571e-02 6.104e-03
9.00 8.00 10.0 1.152e-02 3.265e-03
11.0 10.0 12.0 8.785e-03 3.184e-03
14.0 12.0 16.0 9.737e-03 2.327e-03
20.0 16.0 24.0 4.447e-03 1.902e-03
