#POWLANG - D meson - v3 - Pb-Pb sqrt(s)=5.02 TeV - Centr 30-50%
pt(GeV/c) v3(HTL)
0.130 0.00120
0.310 0.00170
0.510 -0.0011
0.700 -0.0007
0.900 -0.0012
1.100 0.00180
1.300 0.00590
1.500 0.01520
1.800 0.02680
2.190 0.04640
2.590 0.05830
2.990 0.07020
3.390 0.07140
3.790 0.06470
4.230 0.06850
4.730 0.05310
5.280 0.04580
5.790 0.04910
6.450 0.03770
7.450 0.04360
8.840 0.03800
10.85 0.02510
