ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.004 1.013
0.20 0.40 0.980 1.001
0.40 0.60 0.984 1.007
0.60 0.80 0.977 1.010
0.80 1.00 0.981 1.013
1.00 1.20 0.977 1.007
1.20 1.40 0.975 1.010
1.40 1.60 0.973 1.002
1.60 1.80 0.980 1.013
1.80 2.00 0.987 1.011
2.00 2.50 0.994 1.005
2.50 3.00 1.010 0.997
3.00 3.50 1.038 0.986
3.50 4.00 1.054 0.977
4.00 5.00 1.074 0.957
5.00 6.00 1.091 0.954
6.00 7.00 1.089 0.967
7.00 8.00 1.090 0.971
8.00 9.00 1.091 0.948
9.00 10.0 1.081 0.903
10.0 12.0 1.117 0.983
12.0 14.0 1.118 0.998
14.0 16.0 1.185 1.021
