ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 0.995 1.008
0.20 0.40 1.002 1.015
0.40 0.60 0.986 1.002
0.60 0.80 0.978 1.006
0.80 1.00 0.977 1.008
1.00 1.20 0.979 1.013
1.20 1.40 0.976 1.013
1.40 1.60 0.976 1.012
1.60 1.80 0.980 1.010
1.80 2.00 0.982 1.008
2.00 2.50 0.997 1.005
2.50 3.00 1.019 0.993
3.00 3.50 1.039 0.976
3.50 4.00 1.052 0.971
4.00 5.00 1.066 0.965
5.00 6.00 1.056 0.966
6.00 7.00 1.041 0.972
7.00 8.00 1.059 0.981
8.00 9.00 1.033 0.966
9.00 10.0 1.051 1.010
10.0 12.0 1.059 1.008
12.0 14.0 1.025 0.993
14.0 16.0 1.085 0.987
