Pb+Pb 30-50% 5.02 TeV collisions, D^0 and D_s^+ v2
two columns encompass the uncertainty from with or without
hadronic phase diffusion. For D_s^+, the lower bound of the band should be favored since it is unlikely to significantly participate in the hadronic phase interaction, whereas for D^0 the upper boundary of the band should be favored.
=====================================================

pT(GeV)     v2 of D^0

0.1	0.00234	0.00151
0.3	0.00478	0.0037
0.5	0.00981	0.00781
0.7	0.01701	0.01349
0.9	0.02695	0.02001
1.1	0.04024	0.03036
1.3	0.05648	0.04733
1.5	0.0744	0.06728
1.7	0.09225	0.09033
1.9	0.10921	0.11267
2.1	0.12413	0.1323
2.3	0.13581	0.15161
2.5	0.14547	0.16567
2.7	0.15269	0.17811
2.9	0.15763	0.1842
3.1	0.16013	0.18726
3.3	0.16137	0.18735
3.5	0.16097	0.18632
3.7	0.15885	0.18106
3.9	0.15569	0.17609
4.1	0.15309	0.17392
4.3	0.14966	0.1686
4.5	0.1452	0.16044
4.7	0.13949	0.1553
4.9	0.1354	0.1465
5.1	0.13063	0.14269
5.3	0.12468	0.13923
5.5	0.12153	0.13522
5.7	0.11789	0.12792
5.9	0.11443	0.12255
6.1	0.11089	0.12171
6.3	0.10917	0.11542
6.5	0.10637	0.11415
6.7	0.09917	0.11363
6.9	0.09789	0.11046
7.1	0.09564	0.1072
7.3	0.09459	0.10056
7.5	0.09389	0.09893
7.7	0.09045	0.09689
7.9	0.0885	0.09289
8.1	0.08571	0.09087
8.3	0.08321	0.08986
8.5	0.0815	0.08751
8.7	0.08007	0.08705
8.9	0.07859	0.08656
9.1	0.0763	0.08561
9.3	0.07411	0.08348
9.5	0.07269	0.08139
9.7	0.06996	0.08031
9.9	0.0686	0.07824
10.1	0.0664	0.07548
10.3	0.0643	0.07232
10.5	0.0626	0.07099
10.7	0.05982	0.06876
10.9	0.05649	0.06658
11.1	0.05424	0.06427
11.3	0.05329	0.06314
11.5	0.05288	0.06216
11.7	0.0525	0.06132
11.9	0.05171	0.05986

-------------------------------------------

pT(GeV)    v2 of D_s^+

0.1	0.00175	-0.00239
0.3	0.00378	0.00222
0.5	0.00725	0.00614
0.7	0.01396	0.01055
0.9	0.02303	0.01654
1.1	0.03574	0.02695
1.3	0.05139	0.04159
1.5	0.06937	0.06131
1.7	0.08794	0.08302
1.9	0.10605	0.10728
2.1	0.12322	0.13056
2.3	0.13841	0.15117
2.5	0.15087	0.17055
2.7	0.1609	0.18349
2.9	0.16917	0.19596
3.1	0.17535	0.20135
3.3	0.17833	0.20494
3.5	0.18021	0.20594
3.7	0.1814	0.20692
3.9	0.18099	0.20561
4.1	0.1805	0.20114
4.3	0.17895	0.19675
4.5	0.17593	0.19162
4.7	0.17224	0.18913
4.9	0.16904	0.18186
5.1	0.16428	0.17614
5.3	0.15967	0.17185
5.5	0.15542	0.16345
5.7	0.15103	0.15925
5.9	0.14754	0.15555
6.1	0.14333	0.15345
6.3	0.13842	0.15229
6.5	0.13535	0.14456
6.7	0.13292	0.14103
6.9	0.12997	0.13522
7.1	0.12421	0.13472
7.3	0.12067	0.12924
7.5	0.11564	0.12319
7.7	0.11492	0.11943
7.9	0.11215	0.11878
8.1	0.10766	0.11528
8.3	0.10563	0.11209
8.5	0.10351	0.11007
8.7	0.10223	0.10719
8.9	0.10119	0.10453
9.1	0.09786	0.10102
9.3	0.09459	0.10031
9.5	0.0897	0.09623
9.7	0.08755	0.09422
9.9	0.08619	0.09273
10.1	0.085	0.08868
10.3	0.0827	0.08623
10.5	0.07974	0.08417
10.7	0.07705	0.08222
10.9	0.07586	0.08132
11.1	0.07208	0.08034
11.3	0.06975	0.07698
11.5	0.06656	0.07383
11.7	0.06371	0.0727
11.9	0.06074	0.0707
 
