

0.0000000 	0.0000000 	0.0000000 	0.0000001 	0.0000001 	0.0000000 	0.0000001 


0.2000000 	0.0001901 	0.0002509 	-0.0000879 	-0.0000879 	0.0000303 	0.0000783 


0.4000000 	0.0006768 	0.0009498 	0.0000629 	0.0000630 	0.0003276 	0.0004988 


0.6000000 	0.0013916 	0.0020198 	0.0002684 	0.0002684 	0.0007608 	0.0011280 


0.8000000 	0.0022475 	0.0033323 	0.0005253 	0.0005253 	0.0012895 	0.0018952 


1.0000000 	0.0031720 	0.0047692 	0.0008035 	0.0008035 	0.0018631 	0.0027238 


1.2000000 	0.0041304 	0.0062716 	0.0010926 	0.0010927 	0.0024587 	0.0035790 


1.4000000 	0.0051034 	0.0078071 	0.0013931 	0.0013931 	0.0030667 	0.0044443 


1.6000000 	0.0060729 	0.0093444 	0.0017037 	0.0017037 	0.0036778 	0.0053055 


1.8000000 	0.0070318 	0.0108672 	0.0020213 	0.0020213 	0.0042872 	0.0061588 


2.0000000 	0.0079862 	0.0123861 	0.0023489 	0.0023489 	0.0048994 	0.0070100 


2.2000000 	0.0089349 	0.0138999 	0.0026873 	0.0026874 	0.0055142 	0.0078584 


2.4000000 	0.0098732 	0.0154012 	0.0030365 	0.0030365 	0.0061296 	0.0087002 


2.6000000 	0.0107955 	0.0168803 	0.0033968 	0.0033968 	0.0067429 	0.0095306 


2.8000000 	0.0116959 	0.0183273 	0.0037674 	0.0037674 	0.0073511 	0.0103444 


3.0000000 	0.0125697 	0.0197337 	0.0041473 	0.0041473 	0.0079513 	0.0111375 


3.2000000 	0.0134146 	0.0210780 	0.0044807 	0.0044808 	0.0085140 	0.0118971 


3.4000000 	0.0142749 	0.0224488 	0.0048365 	0.0048365 	0.0090956 	0.0126767 


3.6000000 	0.0151420 	0.0238336 	0.0052024 	0.0052025 	0.0096857 	0.0134642 


3.8000000 	0.0160076 	0.0252191 	0.0055776 	0.0055776 	0.0102798 	0.0142524 


4.0000000 	0.0168644 	0.0265937 	0.0059615 	0.0059615 	0.0108745 	0.0150354 


4.2000000 	0.0177067 	0.0279475 	0.0063549 	0.0063550 	0.0114674 	0.0158090 


4.4000000 	0.0185304 	0.0292733 	0.0067563 	0.0067563 	0.0120558 	0.0165689 


