pT v2min v2max boh boh boh boh
14.8000000 0.0043131 0.0204555 0.0079974 0.0079974 0.0073587 0.0104746
15.4000000 0.0042518 0.0203440 0.0083716 0.0083716 0.0076762 0.0106716
15.2000000 0.0042716 0.0203837 0.0082494 0.0082495 0.0075717 0.0106085
15.8000000 0.0042144 0.0202574 0.0086081 0.0086081 0.0078811 0.0107908
15.6000000 0.0042328 0.0203019 0.0084911 0.0084912 0.0077793 0.0107323
16.2000000 0.0041795 0.0201620 0.0088345 0.0088346 0.0080807 0.0109012
16.0000000 0.0041966 0.0202108 0.0087226 0.0087226 0.0079815 0.0108470
16.6000000 0.0041472 0.0200584 0.0090512 0.0090512 0.0082751 0.0110038
16.4000000 0.0041630 0.0201112 0.0089441 0.0089441 0.0081785 0.0109534
17.0000000 0.0041172 0.0199470 0.0092583 0.0092583 0.0084645 0.0110995
16.8000000 0.0041319 0.0200036 0.0091559 0.0091559 0.0083704 0.0110525
17.4000000 0.0040894 0.0198286 0.0094562 0.0094562 0.0086489 0.0111890
17.2000000 0.0041031 0.0198887 0.0093583 0.0093584 0.0085573 0.0111450
17.8000000 0.0040637 0.0197036 0.0096457 0.0096457 0.0088288 0.0112734
17.6000000 0.0040763 0.0197669 0.0095519 0.0095520 0.0087394 0.0112318
18.2000000 0.0040397 0.0195724 0.0098274 0.0098274 0.0090045 0.0113536
18.0000000 0.0040515 0.0196387 0.0097375 0.0097375 0.0089172 0.0113140
18.6000000 0.0040173 0.0194354 0.0100018 0.0100019 0.0091763 0.0114304
18.4000000 0.0040283 0.0195046 0.0099155 0.0099155 0.0090909 0.0113924
19.0000000 0.0039964 0.0192932 0.0101697 0.0101698 0.0093445 0.0115045
18.8000000 0.0040067 0.0193650 0.0100866 0.0100866 0.0092608 0.0114677
19.4000000 0.0039766 0.0191461 0.0103316 0.0103316 0.0095092 0.0115765
19.2000000 0.0039864 0.0192202 0.0102514 0.0102514 0.0094273 0.0115407
19.8000000 0.0039580 0.0189945 0.0104878 0.0104878 0.0096706 0.0116469
19.6000000 0.0039672 0.0190708 0.0104103 0.0104104 0.0095903 0.0116119
20.2000000 0.0039402 0.0188388 0.0106387 0.0106387 0.0098288 0.0117160
20.0000000 0.0039490 0.0189172 0.0105639 0.0105639 0.0097501 0.0116816
20.6000000 0.0039233 0.0186795 0.0107846 0.0107846 0.0099837 0.0117841
20.4000000 0.0039317 0.0187596 0.0107123 0.0107123 0.0099067 0.0117502
21.0000000 0.0039070 0.0185167 0.0109254 0.0109254 0.0101350 0.0118511
20.8000000 0.0039151 0.0185985 0.0108556 0.0108557 0.0100598 0.0118177
21.4000000 0.0038912 0.0183509 0.0110611 0.0110611 0.0102826 0.0119169
21.2000000 0.0038991 0.0184341 0.0109938 0.0109939 0.0102093 0.0118841
21.8000000 0.0038759 0.0181823 0.0111919 0.0111920 0.0104265 0.0119817
21.6000000 0.0038835 0.0182669 0.0111271 0.0111271 0.0103550 0.0119494
22.2000000 0.0038609 0.0180111 0.0113179 0.0113180 0.0105665 0.0120454
22.0000000 0.0038684 0.0180970 0.0112556 0.0112556 0.0104970 0.0120137
22.6000000 0.0038462 0.0178376 0.0114390 0.0114390 0.0107024 0.0121079
22.4000000 0.0038536 0.0179246 0.0113791 0.0113791 0.0106350 0.0120768
23.0000000 0.0038316 0.0176621 0.0115549 0.0115549 0.0108336 0.0121686
22.8000000 0.0038389 0.0177501 0.0114976 0.0114976 0.0107686 0.0121385
23.4000000 0.0038172 0.0174846 0.0116652 0.0116652 0.0109599 0.0122273
23.2000000 0.0038244 0.0175735 0.0116107 0.0116108 0.0108974 0.0121983
23.8000000 0.0038027 0.0173053 0.0117698 0.0117698 0.0110809 0.0122836
23.6000000 0.0038099 0.0173951 0.0117183 0.0117183 0.0110211 0.0122558
24.2000000 0.0037881 0.0171243 0.0118682 0.0118682 0.0111961 0.0123368
24.0000000 0.0037954 0.0172150 0.0118198 0.0118198 0.0111393 0.0123106
24.6000000 0.0037735 0.0169418 0.0119601 0.0119601 0.0113052 0.0123868
24.4000000 0.0037808 0.0170333 0.0119149 0.0119149 0.0112514 0.0123622
25.0000000 0.0037587 0.0167578 0.0120456 0.0120456 0.0114081 0.0124333
24.8000000 0.0037661 0.0168500 0.0120036 0.0120037 0.0113574 0.0124104
25.4000000 0.0037436 0.0165724 0.0121249 0.0121249 0.0115049 0.0124764
25.2000000 0.0037512 0.0166653 0.0120860 0.0120860 0.0114572 0.0124552
25.8000000 0.0037283 0.0163856 0.0121984 0.0121985 0.0115961 0.0125164
25.6000000 0.0037360 0.0164792 0.0121624 0.0121624 0.0115512 0.0124967
26.2000000 0.0037127 0.0161976 0.0122667 0.0122667 0.0116820 0.0125536
26.0000000 0.0037205 0.0162918 0.0122332 0.0122332 0.0116397 0.0125353
26.6000000 0.0036967 0.0160082 0.0123303 0.0123303 0.0117632 0.0125886
26.4000000 0.0037047 0.0161031 0.0122990 0.0122990 0.0117232 0.0125714
27.0000000 0.0036803 0.0158176 0.0123899 0.0123899 0.0118404 0.0126218
26.8000000 0.0036885 0.0159131 0.0123605 0.0123605 0.0118023 0.0126054
27.4000000 0.0036634 0.0156258 0.0124465 0.0124465 0.0119143 0.0126540
27.2000000 0.0036719 0.0157219 0.0124185 0.0124186 0.0118777 0.0126380
27.8000000 0.0036461 0.0154328 0.0125005 0.0125006 0.0119855 0.0126856
27.6000000 0.0036548 0.0155294 0.0124738 0.0124738 0.0119502 0.0126699
28.2000000 0.0036282 0.0152385 0.0125528 0.0125528 0.0120545 0.0127172
28.0000000 0.0036372 0.0153358 0.0125268 0.0125269 0.0120202 0.0127014
28.6000000 0.0036099 0.0150431 0.0126040 0.0126040 0.0121221 0.0127493
28.4000000 0.0036191 0.0151410 0.0125785 0.0125785 0.0120884 0.0127331
29.0000000 0.0035909 0.0148465 0.0126549 0.0126550 0.0121891 0.0127826
28.8000000 0.0036005 0.0149450 0.0126294 0.0126295 0.0121556 0.0127657
