BinCenter_pT BinContent
1.5 0.0846322
2.5 0.0642413
3.5 0.0610341
4.5 0.0620416
5.5 0.0636874
6.5 0.0651489
7.5 0.0640801
8.5 0.061905
9.5 0.0596267
10.5 0.0570066
11.5 0.0535053
12.5 0.0508388
13.5 0.0486169
14.5 0.0456151
15.5 0.042801
16.5 0.0411354
17.5 0.0385492
18.5 0.0367385
19.5 0.0350282
