BinCenter_pT BinContent
1.5 0.0705418
2.5 0.111841
3.5 0.137361
4.5 0.113948
5.5 0.0859958
6.5 0.0703778
7.5 0.0621472
8.5 0.0564834
9.5 0.0513176
10.5 0.0470933
11.5 0.0434954
12.5 0.0399533
13.5 0.037057
14.5 0.0339809
15.5 0.0313031
16.5 0.0291041
17.5 0.026988
18.5 0.0253191
19.5 0.0237716
