BinCenter_pT BinContent
1.5 0.102429
2.5 0.0818483
3.5 0.0795785
4.5 0.0823056
5.5 0.0843811
6.5 0.0855617
7.5 0.0845079
8.5 0.0816681
9.5 0.0784572
10.5 0.0748943
11.5 0.0705148
12.5 0.0668592
13.5 0.0634393
14.5 0.0599482
15.5 0.0563101
16.5 0.0538909
17.5 0.0507223
18.5 0.048376
19.5 0.0462893
