BinCenter_pT BinContent
1.5 0.0893335
2.5 0.140491
3.5 0.169013
4.5 0.139472
5.5 0.104905
6.5 0.0850914
7.5 0.0749465
8.5 0.0676567
9.5 0.0615483
10.5 0.0566346
11.5 0.0519756
12.5 0.0478126
13.5 0.0439333
14.5 0.0406128
15.5 0.0373614
16.5 0.0346107
17.5 0.0322861
18.5 0.0303044
19.5 0.0282133
