BinCenter_pT BinContent
1.5 0.122719
2.5 0.191526
3.5 0.225655
4.5 0.185342
5.5 0.140065
6.5 0.112102
7.5 0.0990537
8.5 0.0886762
9.5 0.0807242
10.5 0.0745453
11.5 0.0680795
12.5 0.0625113
13.5 0.0570353
14.5 0.0531541
15.5 0.0488026
16.5 0.0449494
17.5 0.0420587
18.5 0.0393366
19.5 0.0364751
